Item,Number,Source,Notes,Status,Pickup,Dropoff
Arri Alexa Mini Lf,2,Rental House,,Pending,2023-01-19,2023-02-17
SAM plate,1,Rental House,,Pending,2023-01-19,2023-02-17
Stabilizer plate for CB,1,Rental House,,Pending,2023-01-19,2023-02-17
Arri Dovetail 24”,2,Rental House,,Pending,2023-01-19,2023-02-17
Sigma High Speed Cine Art Primes,2,Rental House,,Pending,2023-01-19,2023-02-17
Zeiss Long Zoom,1,Rental House,What lenght?,Pending,2023-01-19,2023-02-17
Arri LMB,2,Rental House,With Swing away and Clamp on,Pending,2023-01-19,2023-02-17
O’Connor 2575,2,Rental House,"Standards, Babies, Hi, Lo Hat",Pending,2023-01-19,2023-02-17
Batteries,20,Rental House,All gold or all V-lock,Pending,2023-01-19,2023-02-17
Block Batteries,8,Rental House,With power cable for Mini LF,Pending,2023-01-19,2023-02-17
Gold <-> Vlock Adapter,4,Rental House,,Pending,2023-01-19,2023-02-17
A-cam Handheld kit,1,Caelan Benn,,Pending,2023-01-19,2023-02-17
B-cam Handheld kit,1,Rental House,,Pending,2023-01-19,2023-02-17
Eyepiece extension and leveler,2,Rental House,,Pending,2023-01-19,2023-02-17
ND,2,Rental House,"ND 0.3, 0.6, 0.9, IRND 1.2, 1.5, 1.8, 2.1",Pending,2023-01-19,2023-02-17
Classic Soft,2,Rental House,"CS 0.25, 0.5, 1, 2",Pending,2023-01-19,2023-02-17
HollyWood Black Magic,1,Will Smith,"HBM 0.25, 0.5, 1, 2",Pending,2023-01-19,2023-02-17
HollyWood Black Magic,1,Rental House,"HBM 0.25, 0.5, 1, 2",Pending,2023-01-19,2023-02-17
Diopter,2,Rental House,"DIOP .25, .5, 1, 2, 3",Pending,2023-01-19,2023-02-17
Diopter Tray,2,Rental House,Not stage if possible,Pending,2023-01-19,2023-02-17
Anti-Reflective Tray,2,Rental House,,Pending,2023-01-19,2023-02-17
Arri Hi-5,1,Rental House,,Pending,2023-01-19,2023-02-17
B-cam Hand unit,1,TBD,Waiting to hear about B-cam 1st,Pending,2023-01-19,2023-02-17
Microforce,1,Rental House,,Pending,2023-01-19,2023-02-17
SmallHD Cine 13,1,Chris Berti,,Pending,2023-01-19,2023-02-17
B-cam Focus Monitor,1,TBD,Waiting to hear about B-cam 1st,Pending,2023-01-19,2023-02-17
SmallHD 702,1,Caelan Benn,A-cam on board,Pending,2023-01-19,2023-02-17
B-cam onboard,1,TBD,Waiting to hear about B-cam op,Pending,2023-01-19,2023-02-17
Teradek Bolt 4K 1500,2,Rental House,"2 transmitters, 6 receivers",Pending,2023-01-19,2023-02-17
50’ AC cable,2,Rental House,,Pending,2023-01-19,2023-02-17
1’ BNC,6,Rental House,,Pending,2023-01-19,2023-02-17
3’ BNC,6,Rental House,,Pending,2023-01-19,2023-02-17
6’ BNC,6,Rental House,,Pending,2023-01-19,2023-02-17
25’ BNC,2,Rental House,,Pending,2023-01-19,2023-02-17
50’ BNC,2,Rental House,,Pending,2023-01-19,2023-02-17
100’ BNC,2,Rental House,,Pending,2023-01-19,2023-02-17
AJA Distribution box,2,Rental House,,Pending,2023-01-19,2023-02-17
Magic Arms,6,Rental House,,Pending,2023-01-19,2023-02-17
Nano Clamps,6,Rental House,,Pending,2023-01-19,2023-02-17
Battery Plate,3,Rental House,,Pending,2023-01-19,2023-02-17
2-pin to 2-pin,6,Rental House,,Pending,2023-01-19,2023-02-17
D-tap to 2-pin,4,Rental House,,Pending,2023-01-19,2023-02-17
D-tap splitter,4,Rental House,,Pending,2023-01-19,2023-02-17
3” 15mm Rod,4,Rental House,,Pending,2023-01-19,2023-02-17
6” 15mm Rod,4,Rental House,,Pending,2023-01-19,2023-02-17
12” 15mm Rod,4,Rental House,,Pending,2023-01-19,2023-02-17
18” 15mm Rod,4,Rental House,,Pending,2023-01-19,2023-02-17
Monitor Cart,1,TBD,Either Jesse Clark's or Rental House's,Pending,2023-01-19,2023-02-17
Lens Cart,1,TBD,Either Jesse Clark's or Rental House's,Pending,2023-01-19,2023-02-17
B-cam Focus stand,1,TBD,Waiting to hear about B-cam 1st,Pending,2023-01-19,2023-02-17
Standard c-stand,2,Rental House,,Pending,2023-01-19,2023-02-17
Matthews Monitor Stand II,1,Chris Berti,,Pending,2023-01-19,2023-02-17
Sandbag,6,Rental House,,Pending,2023-01-19,2023-02-17
Double Header,1,Rental House,,Pending,2023-01-19,2023-02-17
